caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,period,1,120,9.000,0.071,1.360,0.640,0.705,0.797,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,period,2,120,9.000,0.073,1.406,0.638,0.705,0.796,0.145,1.307
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,period,3,120,9.000,0.072,1.391,0.639,0.704,0.795,0.145,1.307
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,current-federal-court,Current-style federal supreme court,period,4,120,9.000,0.070,1.380,0.639,0.705,0.797,0.145,1.307
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,120,9.000,0.045,1.437,0.619,0.705,0.783,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,120,9.000,0.020,1.390,0.618,0.706,0.779,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,120,9.000,0.021,1.386,0.621,0.707,0.781,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,120,9.000,0.026,1.369,0.618,0.707,0.780,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,120,15.000,0.004,0.813,0.531,0.734,0.779,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,2,120,15.000,-0.004,0.842,0.530,0.732,0.777,0.453,6.798
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,3,120,15.000,-0.019,0.883,0.530,0.731,0.780,0.453,6.798
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,4,120,15.000,0.005,0.908,0.531,0.734,0.778,0.453,6.798
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,supermajority-invalidation,Supermajority required to invalidate laws,period,1,120,9.000,0.056,1.404,0.612,0.701,0.846,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,supermajority-invalidation,Supermajority required to invalidate laws,period,2,120,9.000,0.055,1.370,0.613,0.700,0.842,0.151,1.357
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,supermajority-invalidation,Supermajority required to invalidate laws,period,3,120,9.000,0.068,1.387,0.613,0.700,0.843,0.151,1.357
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,supermajority-invalidation,Supermajority required to invalidate laws,period,4,120,9.000,0.058,1.382,0.613,0.699,0.841,0.151,1.357
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,strict-recusal-court,Strict recusal with substitute justices,period,1,120,12.000,0.001,0.819,0.531,0.732,0.768,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,strict-recusal-court,Strict recusal with substitute justices,period,2,120,12.000,0.001,0.831,0.531,0.733,0.769,0.459,5.506
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,strict-recusal-court,Strict recusal with substitute justices,period,3,120,12.000,-0.012,0.871,0.532,0.731,0.768,0.459,5.506
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,strict-recusal-court,Strict recusal with substitute justices,period,4,120,12.000,-0.008,0.909,0.532,0.733,0.767,0.459,5.506
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,1,120,9.000,0.021,1.383,0.593,0.729,0.796,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,2,120,9.000,0.028,1.378,0.596,0.732,0.800,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,3,120,9.000,0.030,1.385,0.593,0.731,0.796,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,period,4,120,9.000,0.027,1.388,0.592,0.730,0.799,0.362,3.258
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,panel-en-banc-review,Panel review with en banc safety valve,period,1,120,15.000,0.001,0.634,0.504,0.737,0.749,0.000,0.000
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,panel-en-banc-review,Panel review with en banc safety valve,period,2,120,15.000,-0.001,0.679,0.502,0.734,0.749,0.459,6.882
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,panel-en-banc-review,Panel review with en banc safety valve,period,3,120,15.000,0.005,0.711,0.502,0.737,0.750,0.459,6.882
baseline,Baseline,Moderately polarized appointment environment with ordinary constitutional-review pressure.,panel-en-banc-review,Panel review with en banc safety valve,period,4,120,15.000,0.001,0.759,0.502,0.734,0.748,0.459,6.882
