caseKey,caseName,caseDescription,scenarioKey,scenario,scenarioKind,reviewMechanism,segmentType,segmentKey,observations,courtSize,medianIdeology,ideologicalSpread,meanPartisanAttachment,meanRightsSensitivity,meanInstitutionalism,replacementPressure,estimatedReplacementEvents
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,1,80,9.000,0.072,1.389,0.639,0.704,0.798,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,2,80,9.000,0.074,1.399,0.638,0.706,0.796,0.145,1.307
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,3,80,9.000,0.074,1.392,0.640,0.705,0.796,0.145,1.307
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,court_variant,strong_form_court,period,4,80,9.000,0.066,1.369,0.640,0.704,0.796,0.145,1.307
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,1,80,9.000,0.037,1.436,0.619,0.705,0.782,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,2,80,9.000,0.013,1.395,0.620,0.706,0.779,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,3,80,9.000,0.017,1.393,0.623,0.708,0.781,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,court_variant,strong_form_court,period,4,80,9.000,0.025,1.373,0.618,0.707,0.781,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,1,80,15.000,0.007,0.805,0.532,0.734,0.779,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,2,80,15.000,-0.013,0.846,0.531,0.733,0.777,0.453,6.798
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,3,80,15.000,-0.020,0.894,0.530,0.729,0.779,0.453,6.798
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,court_variant,strong_form_court,period,4,80,15.000,-0.012,0.901,0.531,0.734,0.778,0.453,6.798
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,period,1,80,9.000,0.057,1.435,0.611,0.701,0.845,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,period,2,80,9.000,0.053,1.361,0.614,0.701,0.843,0.151,1.357
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,period,3,80,9.000,0.062,1.374,0.612,0.700,0.844,0.151,1.357
baseline,Baseline,Baseline assumptions for sensitivity comparison.,supermajority-invalidation,Supermajority required to invalidate laws,court_variant,strong_form_court,period,4,80,9.000,0.063,1.385,0.613,0.698,0.840,0.151,1.357
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,period,1,80,12.000,0.003,0.847,0.531,0.732,0.768,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,period,2,80,12.000,0.008,0.827,0.530,0.734,0.770,0.459,5.506
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,period,3,80,12.000,-0.013,0.860,0.532,0.731,0.767,0.459,5.506
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,court_variant,strong_form_court,period,4,80,12.000,-0.007,0.896,0.534,0.732,0.768,0.459,5.506
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,period,1,80,9.000,0.032,1.415,0.594,0.729,0.797,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,period,2,80,9.000,0.042,1.374,0.596,0.732,0.801,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,period,3,80,9.000,0.029,1.396,0.592,0.730,0.796,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,reasoned-emergency-review,Reasoned emergency orders with merits follow-up,court_variant,strong_form_court,period,4,80,9.000,0.035,1.392,0.592,0.730,0.799,0.362,3.258
baseline,Baseline,Baseline assumptions for sensitivity comparison.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,period,1,80,15.000,0.001,0.615,0.503,0.738,0.749,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,period,2,80,15.000,-0.014,0.685,0.503,0.734,0.750,0.459,6.882
baseline,Baseline,Baseline assumptions for sensitivity comparison.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,period,3,80,15.000,-0.015,0.706,0.503,0.736,0.751,0.459,6.882
baseline,Baseline,Baseline assumptions for sensitivity comparison.,panel-en-banc-review,Panel review with en banc safety valve,court_variant,strong_form_court,period,4,80,15.000,0.007,0.737,0.504,0.735,0.748,0.459,6.882
baseline,Baseline,Baseline assumptions for sensitivity comparison.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,period,1,80,18.000,-0.007,0.846,0.512,0.748,0.804,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,period,2,80,18.000,-0.003,0.875,0.513,0.749,0.804,0.456,8.208
baseline,Baseline,Baseline assumptions for sensitivity comparison.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,period,3,80,18.000,-0.027,0.914,0.511,0.746,0.803,0.456,8.208
baseline,Baseline,Baseline assumptions for sensitivity comparison.,dual-cross-checking-courts,Dual supreme courts with cross-checking invalidations,court_variant,strong_form_court,period,4,80,18.000,-0.032,0.940,0.510,0.750,0.805,0.456,8.208
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,period,1,80,12.000,0.002,0.621,0.478,0.767,0.795,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,period,2,80,12.000,-0.006,0.667,0.481,0.766,0.794,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,period,3,80,12.000,0.019,0.707,0.478,0.767,0.793,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,constitutional-council,Pre-enactment constitutional council,court_variant,strong_form_court,period,4,80,12.000,0.032,0.782,0.477,0.765,0.794,0.717,8.604
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,period,1,80,9.000,0.043,1.365,0.598,0.714,0.754,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,period,2,80,9.000,0.045,1.366,0.598,0.716,0.757,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,period,3,80,9.000,0.044,1.383,0.598,0.710,0.756,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,legislative-override-court,Judicial review with delayed legislative override,court_variant,strong_form_court,period,4,80,9.000,0.027,1.389,0.602,0.716,0.755,0.384,3.460
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,period,1,80,9.000,0.026,1.182,0.588,0.698,0.676,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,period,2,80,9.000,0.025,1.194,0.590,0.697,0.676,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,period,3,80,9.000,-0.015,1.211,0.590,0.699,0.678,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,accountability-retention-court,Retention-election accountability court,court_variant,strong_form_court,period,4,80,9.000,0.014,1.316,0.587,0.692,0.677,0.929,8.363
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,period,1,80,15.000,-0.004,0.831,0.500,0.755,0.802,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,period,2,80,15.000,0.013,0.886,0.500,0.754,0.801,0.464,6.966
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,period,3,80,15.000,-0.015,0.906,0.502,0.754,0.803,0.464,6.966
baseline,Baseline,Baseline assumptions for sensitivity comparison.,independence-accountability-hybrid,Hybrid court balancing independence and accountability,court_variant,strong_form_court,period,4,80,15.000,0.008,0.967,0.501,0.757,0.803,0.464,6.966
baseline,Baseline,Baseline assumptions for sensitivity comparison.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,period,1,80,9.000,0.009,0.827,0.503,0.720,0.785,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,period,2,80,9.000,0.029,0.820,0.502,0.713,0.786,0.401,3.611
baseline,Baseline,Baseline assumptions for sensitivity comparison.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,period,3,80,9.000,0.014,0.838,0.502,0.716,0.781,0.401,3.611
baseline,Baseline,Baseline assumptions for sensitivity comparison.,weak-form-review,Weak-form review with legislative reply,synthetic_mechanism,weak_form_review,period,4,80,9.000,-0.003,0.819,0.501,0.718,0.787,0.401,3.611
baseline,Baseline,Baseline assumptions for sensitivity comparison.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,period,1,80,11.000,-0.000,0.806,0.512,0.755,0.782,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,period,2,80,11.000,0.030,0.830,0.514,0.753,0.778,0.467,5.139
baseline,Baseline,Baseline assumptions for sensitivity comparison.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,period,3,80,11.000,0.032,0.852,0.512,0.756,0.778,0.467,5.139
baseline,Baseline,Baseline assumptions for sensitivity comparison.,suspended-declaration-review,Suspended declarations of invalidity,synthetic_mechanism,suspended_declaration,period,4,80,11.000,0.015,0.882,0.513,0.755,0.779,0.467,5.139
baseline,Baseline,Baseline assumptions for sensitivity comparison.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,period,1,80,9.000,0.032,1.323,0.584,0.716,0.768,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,period,2,80,9.000,0.051,1.362,0.586,0.715,0.768,0.393,3.535
baseline,Baseline,Baseline assumptions for sensitivity comparison.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,period,3,80,9.000,0.032,1.398,0.583,0.712,0.771,0.393,3.535
baseline,Baseline,Baseline assumptions for sensitivity comparison.,override-clause-review,Strong-form review with explicit override clause,synthetic_mechanism,legislative_override_clause,period,4,80,9.000,0.001,1.422,0.585,0.715,0.768,0.393,3.535
baseline,Baseline,Baseline assumptions for sensitivity comparison.,pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,period,1,80,12.000,0.008,0.627,0.472,0.751,0.799,0.000,0.000
baseline,Baseline,Baseline assumptions for sensitivity comparison.,pre-enactment-review,Pre-enactment review before laws take effect,synthetic_mechanism,pre_enactment_review,period,2,80,12.000,-0.021,0.672,0.474,0.751,0.801,0.721,8.654
